image_id,timestamp,original_filename,original_filepath,file_size,model_a_filepath,model_a_inference_time,model_a_detection_count,model_b_filepath,model_b_inference_time,model_b_detection_count
1b303792-d906-49ec-bc68-7c460d43b197,2025-04-23 14:58:34.172512,pexels-evonics-2564889.jpg,/app/originals/1b303792-d906-49ec-bc68-7c460d43b197_pexels-evonics-2564889.jpg,1380754,/app/static/classified/model_a/1b303792-d906-49ec-bc68-7c460d43b197_model_a_processed.jpg,22.413850784301758,1,/app/static/classified/model_b/1b303792-d906-49ec-bc68-7c460d43b197_model_b_processed.jpg,11.792892932891846,1
2d3320fa-98b8-49ea-b831-fdfa3bddea51,2025-04-23 14:59:48.907538,images.jpeg,/app/originals/2d3320fa-98b8-49ea-b831-fdfa3bddea51_images.jpeg,25517,/app/static/classified/model_a/2d3320fa-98b8-49ea-b831-fdfa3bddea51_model_a_processed.jpeg,1.8185477256774902,1,/app/static/classified/model_b/2d3320fa-98b8-49ea-b831-fdfa3bddea51_model_b_processed.jpeg,1.414109706878662,1
60556e13-7351-4c60-be32-e986c0db2b0b,2025-04-23 15:00:15.114641,images.jpeg,/app/originals/60556e13-7351-4c60-be32-e986c0db2b0b_images.jpeg,25517,/app/static/classified/model_a/60556e13-7351-4c60-be32-e986c0db2b0b_model_a_processed.jpeg,1.5125560760498047,1,/app/static/classified/model_b/60556e13-7351-4c60-be32-e986c0db2b0b_model_b_processed.jpeg,1.338639259338379,1
c42ab4f3-c891-4e03-86aa-33b61088c0cb,2025-04-27 13:45:52.996353,sample-image.jpeg,/app/originals/c42ab4f3-c891-4e03-86aa-33b61088c0cb_sample-image.jpeg,51871,/app/static/classified/model_a/c42ab4f3-c891-4e03-86aa-33b61088c0cb_model_a_processed.jpeg,7.170809030532837,1,/app/static/classified/model_b/c42ab4f3-c891-4e03-86aa-33b61088c0cb_model_b_processed.jpeg,5.74125075340271,1
dd5a95bd-4e75-464a-8865-535047a79620,2025-04-27 13:46:27.397348,sample-image.jpeg,/app/originals/dd5a95bd-4e75-464a-8865-535047a79620_sample-image.jpeg,77788,/app/static/classified/model_a/dd5a95bd-4e75-464a-8865-535047a79620_model_a_processed.jpeg,0.8039093017578125,1,/app/static/classified/model_b/dd5a95bd-4e75-464a-8865-535047a79620_model_b_processed.jpeg,0.3254263401031494,1
9098c7d9-717e-4de6-95f1-85fe10da5b82,2025-04-27 13:47:12.382905,sample-image.jpeg,/app/originals/9098c7d9-717e-4de6-95f1-85fe10da5b82_sample-image.jpeg,126912,/app/static/classified/model_a/9098c7d9-717e-4de6-95f1-85fe10da5b82_model_a_processed.jpeg,1.631439208984375,1,/app/static/classified/model_b/9098c7d9-717e-4de6-95f1-85fe10da5b82_model_b_processed.jpeg,1.5509164333343506,3
c52d8b25-d05e-4d8d-bd49-0eb887ad44c7,2025-04-27 13:47:45.830356,sample-image.jpeg,/app/originals/c52d8b25-d05e-4d8d-bd49-0eb887ad44c7_sample-image.jpeg,112714,/app/static/classified/model_a/c52d8b25-d05e-4d8d-bd49-0eb887ad44c7_model_a_processed.jpeg,1.5198798179626465,1,/app/static/classified/model_b/c52d8b25-d05e-4d8d-bd49-0eb887ad44c7_model_b_processed.jpeg,1.3717601299285889,1
a4e19e9a-617b-4484-bb1c-e5408d25f667,2025-04-27 13:48:07.809401,sample-image.jpeg,/app/originals/a4e19e9a-617b-4484-bb1c-e5408d25f667_sample-image.jpeg,119018,/app/static/classified/model_a/a4e19e9a-617b-4484-bb1c-e5408d25f667_model_a_processed.jpeg,1.5509772300720215,1,/app/static/classified/model_b/a4e19e9a-617b-4484-bb1c-e5408d25f667_model_b_processed.jpeg,1.3431150913238525,1
eb3a4923-9940-4a11-b2e1-267cbdfd4eed,2025-04-27 14:39:04.505422,sample-image.jpeg,/app/originals/eb3a4923-9940-4a11-b2e1-267cbdfd4eed_sample-image.jpeg,117384,/app/static/classified/model_a/eb3a4923-9940-4a11-b2e1-267cbdfd4eed_model_a_processed.jpeg,6.565905570983887,1,/app/static/classified/model_b/eb3a4923-9940-4a11-b2e1-267cbdfd4eed_model_b_processed.jpeg,6.166133165359497,1
ceb9fc4e-edc7-4e78-98ff-3c41c3d2045e,2025-04-27 14:39:27.222222,sample-image.jpeg,/app/originals/ceb9fc4e-edc7-4e78-98ff-3c41c3d2045e_sample-image.jpeg,98279,/app/static/classified/model_a/ceb9fc4e-edc7-4e78-98ff-3c41c3d2045e_model_a_processed.jpeg,1.6713206768035889,2,/app/static/classified/model_b/ceb9fc4e-edc7-4e78-98ff-3c41c3d2045e_model_b_processed.jpeg,1.6449902057647705,2
447a0687-2d7c-4fa9-be7c-0ac7637b8328,2025-04-27 14:45:35.312481,sample-image.jpeg,/app/originals/447a0687-2d7c-4fa9-be7c-0ac7637b8328_sample-image.jpeg,130594,/app/static/classified/model_a/447a0687-2d7c-4fa9-be7c-0ac7637b8328_model_a_processed.jpeg,1.7639079093933105,1,/app/static/classified/model_b/447a0687-2d7c-4fa9-be7c-0ac7637b8328_model_b_processed.jpeg,1.5036249160766602,1
49943cf5-e7f9-4521-ba32-a673358429cc,2025-04-27 14:45:52.532103,sample-image.jpeg,/app/originals/49943cf5-e7f9-4521-ba32-a673358429cc_sample-image.jpeg,97136,/app/static/classified/model_a/49943cf5-e7f9-4521-ba32-a673358429cc_model_a_processed.jpeg,1.6256678104400635,1,/app/static/classified/model_b/49943cf5-e7f9-4521-ba32-a673358429cc_model_b_processed.jpeg,1.4971890449523926,1
eef3e416-5619-4ba3-9144-b6e05386010d,2025-04-27 14:52:25.123079,images.jpeg,/app/originals/eef3e416-5619-4ba3-9144-b6e05386010d_images.jpeg,25517,/app/static/classified/model_a/eef3e416-5619-4ba3-9144-b6e05386010d_model_a_processed.jpeg,1.7585711479187012,1,/app/static/classified/model_b/eef3e416-5619-4ba3-9144-b6e05386010d_model_b_processed.jpeg,1.4937820434570312,1
3521971a-70da-4614-85b2-d234c99ed7f7,2025-04-27 14:59:46.266963,sample-image.jpeg,/app/originals/3521971a-70da-4614-85b2-d234c99ed7f7_sample-image.jpeg,78329,/app/static/classified/model_a/3521971a-70da-4614-85b2-d234c99ed7f7_model_a_processed.jpeg,1.6599299907684326,1,/app/static/classified/model_b/3521971a-70da-4614-85b2-d234c99ed7f7_model_b_processed.jpeg,1.5260672569274902,1
00149fc8-d0ef-4f82-9ebb-4c574f9698f1,2025-04-27 15:00:29.170816,sample-image.jpeg,/app/originals/00149fc8-d0ef-4f82-9ebb-4c574f9698f1_sample-image.jpeg,72606,/app/static/classified/model_a/00149fc8-d0ef-4f82-9ebb-4c574f9698f1_model_a_processed.jpeg,1.5815198421478271,2,/app/static/classified/model_b/00149fc8-d0ef-4f82-9ebb-4c574f9698f1_model_b_processed.jpeg,1.5214285850524902,2
c4ebda44-ca92-459d-9925-49901d9ec1a5,2026-02-05 12:30:54.600798,sample-image.jpeg,/app/originals/c4ebda44-ca92-459d-9925-49901d9ec1a5_sample-image.jpeg,91205,/app/static/classified/model_a/c4ebda44-ca92-459d-9925-49901d9ec1a5_model_a_processed.jpeg,14.594909906387329,2,/app/static/classified/model_b/c4ebda44-ca92-459d-9925-49901d9ec1a5_model_b_processed.jpeg,5.846526145935059,1
e589fd35-fe24-49d3-ba38-4f752cbaacac,2026-02-05 12:32:28.993749,sample-image.jpeg,/app/originals/e589fd35-fe24-49d3-ba38-4f752cbaacac_sample-image.jpeg,82709,/app/static/classified/model_a/e589fd35-fe24-49d3-ba38-4f752cbaacac_model_a_processed.jpeg,1.8212594985961914,1,/app/static/classified/model_b/e589fd35-fe24-49d3-ba38-4f752cbaacac_model_b_processed.jpeg,1.5687837600708008,1
37d1584f-0e9a-4c2e-aac9-f55af91b1bca,2026-02-05 13:27:50.394911,sample_image.jpg,/app/originals/37d1584f-0e9a-4c2e-aac9-f55af91b1bca_sample_image.jpg,119018,/app/static/classified/model_a/37d1584f-0e9a-4c2e-aac9-f55af91b1bca_model_a_processed.jpg,4.990058422088623,1,/app/static/classified/model_b/37d1584f-0e9a-4c2e-aac9-f55af91b1bca_model_b_processed.jpg,5.344224214553833,1
98969267-9307-48fc-a6fe-1a31524e1585,2026-02-05 19:52:27.424549,sample_image.jpg,/app/originals/98969267-9307-48fc-a6fe-1a31524e1585_sample_image.jpg,43684,/app/static/classified/model_a/98969267-9307-48fc-a6fe-1a31524e1585_model_a_processed.jpg,5.692540645599365,1,/app/static/classified/model_b/98969267-9307-48fc-a6fe-1a31524e1585_model_b_processed.jpg,6.952184677124023,1
